YEAR,richness,simpson,shannon
1999,14,3.9895753958497915,5.291644184170037
2000,14,4.909954099459374,5.76750515503926
2001,14,4.773809038466025,6.0422279721248895
2002,14,5.150522555614657,6.55723880225212
2003,14,4.331967049226428,5.57148371670831
2004,14,3.044929119021874,4.501123189821087
2005,14,5.105475175314255,6.156617362614897
2006,14,4.659972162654617,5.767736046719306
2007,14,5.146239198273574,6.4360161808202
2008,14,4.210854498547934,5.548099055815463
2009,14,3.8686202409490926,5.0136405190019895
2010,14,4.27158303293268,5.547760983558288
2011,14,4.691700959297522,5.902623799395376
2012,14,4.642470395507416,5.935765088543554
2014,14,5.021867159898929,6.30105508407239
2016,14,4.1658793208397205,5.209980450002584
