YEAR,density_mean,density_n,density_sd,density_se,density_min,density_max
1999,0.3028058853588172,161,1.580805464190849,0.12458492365684402,0,15.394301221228842
2000,0.36173856059179643,161,1.9285601037457658,0.15199182868195976,0,17.374349147220375
2001,0.42015932709686316,161,2.306385081270127,0.18176860833436012,0,21.310377901686486
2002,0.4024025329396747,161,2.0940957312535944,0.16503786374618368,0,19.88487485772345
2003,0.3587052553992573,161,1.9601954705770221,0.1544850448624502,0,18.49642095411094
2004,0.43010442672765126,161,2.3840846829962086,0.18789219480245595,0,22.299813829065137
2005,0.41062797948842056,161,2.0919164195319286,0.16486610992155531,0,19.460118647951894
2006,0.3478367965557391,161,1.754972769333337,0.13831123021778557,0,15.383763661405052
2007,0.4875878112024444,161,2.554932209130717,0.20135686612513723,0,25.043406244126516
2008,0.5566585309451445,161,3.029746725368811,0.23877749225319986,0,32.27181851845154
2009,0.5744371776157942,161,2.9298210221667222,0.23090224359876727,0,28.031731911067144
2010,0.4640540138591669,161,2.2179511610383686,0.17479903905444336,0,18.63701610910575
2011,0.43122333798191226,161,1.9704926222689632,0.15529657410275433,0,18.291156683753403
2012,0.4361689494104918,169,2.107923624301232,0.16214797110009477,0,19.357713579324237
2014,0.6645117282855935,115,2.716926611407895,0.2533547128773925,3.7696856220952604e-5,21.576409727668533
2016,0.8255499374472853,114,3.3449312022980315,0.31328151047892333,1.3526670153176176e-4,26.06787541097152
