YEAR,density_mean,density_n,density_sd,density_se,density_min,density_max
1999,0.16587064433241908,60,0.5087161889976395,0.06567497759779875,0,2.430890968950402
2000,0.265155455760636,60,0.8125717107698632,0.104902556780365,0,4.041161199989827
2001,0.72308868715259,60,4.051783003584531,0.5230829365109718,0,31.156762090180106
2002,0.2626247163575875,60,0.9558375763235666,0.12339810049268113,0,5.7747457330120096
2003,0.31445573324127984,60,1.158994025602839,0.14962548531712294,0,7.584142800832052
2004,0.5166860238126216,60,1.9613541498664504,0.25320973194825225,0,13.571588921472863
2005,0.44742054991212876,60,2.144150341895085,0.2768086188641534,0,16.0340561620412
2006,0.6296277521467635,60,3.5511586173988747,0.45845260616422656,0,27.336017688721356
2007,0.5102416467645715,60,2.4154307350913187,0.31183076703087387,0,18.243024531528523
2008,0.40690388953146583,60,1.5354852980962599,0.19823029959577151,0,10.605517794424221
2009,0.7093241237941167,60,3.5403537231859117,0.4570577003194153,0,26.860308540591614
2010,0.7330193184710034,60,4.246261564243365,0.5481900107318403,0,32.79012246028688
2011,0.6902789196286693,60,3.793766837526628,0.48977319270448694,0,29.187600431013642
2012,0.8142520437713044,60,4.749813412666418,0.6131982748283218,0,36.623353960361
2014,1.2095515604891527,33,4.6579755306027835,0.8108494618663304,1.8100658160899121e-4,26.547298776227944
2016,1.4781036406596781,33,5.904663182948599,1.027869926095602,7.31090544891202e-5,33.76364815770034
