YEAR,richness,simpson,shannon,trophic_group
1999,3,1.567909823057703,1.8006944880646865,Hogfish
2000,3,1.4929425064256399,1.6940416300564785,Hogfish
2001,3,1.397031131334895,1.679460864587799,Hogfish
2002,3,1.626711388441177,1.847439229166331,Hogfish
2003,3,1.3887353763400223,1.6154704793296801,Hogfish
2004,3,1.4400418393400332,1.700118088749414,Hogfish
2005,3,1.4923033939901966,1.7661329246352635,Hogfish
2006,3,1.5996446063772152,1.8436752425318021,Hogfish
2007,3,1.621108486144538,1.83300860796351,Hogfish
2008,3,1.4620699093680287,1.7184220748367642,Hogfish
2009,3,1.5441535815944354,1.8045091447158998,Hogfish
2010,3,1.5191496810683633,1.7988892129793017,Hogfish
2011,3,1.6122564959418844,1.8854517478411068,Hogfish
2012,3,1.452752906736128,1.6942942014296738,Hogfish
2014,3,1.3679520737268656,1.6069516704628994,Hogfish
2016,3,1.3729496908163015,1.6263836271199414,Hogfish
